gene,SRR16936780,SRR16936781,SRR16936782,SRR16936792,SRR16936793,SRR16936794
0610005C13Rik,0,0,0,0,0,0
0610006L08Rik,0,0,0,0,0,0
0610009E02Rik,26,11,30,28,19,11
0610009L18Rik,163,166,143,143,108,144
0610010K14Rik,1209,887,1140,817,849,776
0610025J13Rik,0,0,0,0,0,0
0610030E20Rik,2193,1657,1948,1303,1406,1186
0610031O16Rik,0,0,0,0,0,0
0610038B21Rik,23,16,21,13,11,20
0610039H22Rik,2,6,0,0,0,2
0610039K10Rik,4,6,1,2,0,1
0610040B10Rik,16,21,18,21,15,14
0610040F04Rik,0,3,5,1,0,3
0610040J01Rik,240,165,212,110,108,69
0610042G04Rik,172,127,146,160,148,112
0610043K17Rik,0,8,3,0,2,0
1100001I12Rik,0,0,0,0,0,0
1110002E22Rik,0,2,2,6,4,1
1110002J07Rik,75,52,66,209,277,261
1110002L01Rik,338,288,282,274,272,186
1110002O04Rik,0,0,0,0,0,0
1110004F10Rik,5305,4257,4778,5191,5460,4649
1110006O24Rik,46,22,26,16,15,13
1110015O18Rik,0,0,0,0,0,0
1110018N20Rik,0,0,3,0,0,0
1110019D14Rik,204,157,160,126,123,101
1110020A21Rik,14,14,19,7,12,6
1110025L11Rik,0,0,0,0,0,0
1110025M09Rik,258,212,280,109,134,129
1110028F11Rik,0,0,0,1,0,0
1110028F18Rik,0,1,0,1,3,3
1110032F04Rik,0,2,0,3,0,0
1110036E04Rik,0,0,0,0,0,0
1110038B12Rik,874,780,997,860,886,716
1110038F14Rik,1022,787,944,918,1058,872
1110046J04Rik,68,48,48,57,82,67
1110057P08Rik,0,0,0,0,0,0
1110058D11Rik,0,0,0,0,0,0
1110059E24Rik,475,394,371,438,472,367
1110059G10Rik,1256,1072,960,824,758,744
1110065P20Rik,444,306,342,328,378,279
1190005I06Rik,0,0,3,0,0,0
1190028D05Rik,0,0,0,0,0,0
1300002E11Rik,491,389,401,307,351,315
1500002C15Rik,45,47,37,15,14,14
1500002F19Rik,26,20,25,10,17,6
1500004A13Rik,37,32,40,25,23,25
1500009L16Rik,1,3,1,2,6,3
1500011B03Rik,756,620,746,549,640,525
1500012K07Rik,0,0,0,0,0,0
