gene,SRR13422665,SRR13422666,SRR13422667,SRR13422668,SRR13422669,SRR13422670,SRR13422671,SRR13422672
0610005C13Rik,0,0,0,0,0,0,3,0
0610006L08Rik,0,0,0,0,0,0,0,0
0610009E02Rik,17,5,7,16,10,15,6,21
0610009L18Rik,94,54,69,129,43,69,24,67
0610010K14Rik,350,247,287,486,326,736,477,708
0610025J13Rik,0,0,0,0,0,0,0,0
0610030E20Rik,783,662,680,902,534,763,548,875
0610031O16Rik,0,0,0,0,0,0,0,0
0610038B21Rik,4,11,2,0,6,4,0,5
0610039H22Rik,2,0,0,0,3,2,4,1
0610039K10Rik,1,0,9,0,0,1,1,0
0610040B10Rik,5,0,5,10,13,20,7,25
0610040F04Rik,0,0,0,0,0,0,1,0
0610040J01Rik,81,59,68,91,88,68,58,110
0610042G04Rik,28,32,47,45,24,32,17,49
0610043K17Rik,0,0,11,6,0,0,0,0
1100001I12Rik,0,0,0,0,0,0,0,0
1110002E22Rik,0,0,1,0,0,4,0,13
1110002J07Rik,5,1,2,6,0,2,16,4
1110002L01Rik,144,123,128,148,101,207,82,140
1110002O04Rik,0,0,0,0,0,0,0,0
1110004F10Rik,1386,1299,1375,1442,1712,2274,1452,2365
1110006O24Rik,10,11,5,13,4,8,7,11
1110015O18Rik,0,0,0,0,0,0,0,0
1110018N20Rik,0,0,0,0,0,0,0,0
1110019D14Rik,99,86,51,109,112,138,115,131
1110020A21Rik,15,6,2,4,1,5,10,9
1110025L11Rik,0,0,0,0,0,0,0,0
1110025M09Rik,230,170,119,278,104,123,80,159
1110028F11Rik,3,0,0,13,5,0,0,1
1110028F18Rik,0,0,0,0,0,0,0,0
1110032F04Rik,0,0,0,0,3,0,0,0
1110036E04Rik,0,0,0,0,0,0,0,0
1110038B12Rik,336,414,357,514,499,766,362,789
1110038F14Rik,514,490,495,563,530,633,318,657
1110046J04Rik,30,26,32,47,24,44,24,48
1110057P08Rik,0,0,0,0,0,0,0,0
1110058D11Rik,0,0,0,0,0,0,0,0
1110059E24Rik,11,2,8,16,17,18,11,12
1110059G10Rik,943,911,894,1130,1134,1515,802,1359
1110065P20Rik,169,253,207,266,165,307,194,329
1190005I06Rik,0,0,0,0,0,0,0,0
1190028D05Rik,0,0,0,0,0,0,0,0
1300002E11Rik,109,130,97,159,126,170,107,144
1500002C15Rik,22,8,19,20,10,14,9,18
1500002F19Rik,0,4,0,3,0,2,0,5
1500004A13Rik,20,39,16,16,8,3,12,6
1500009L16Rik,0,0,1,0,0,0,0,6
1500011B03Rik,314,307,268,410,281,557,298,534
1500012K07Rik,0,0,0,0,0,0,0,0
1500015A07Rik,52,56,33,71,30,89,27,53
1500015L24Rik,0,0,0,0,0,0,0,0
1500026H17Rik,0,10,4,10,13,2,4,17
1500035N22Rik,0,0,0,0,0,0,0,0
1600002D24Rik,0,0,0,0,0,0,0,0
1600010M07Rik,62,62,53,114,45,62,42,91
1600012H06Rik,947,881,709,1053,910,1221,716,1331
1600012P17Rik,0,0,0,0,0,0,0,0
1600014C10Rik,276,124,188,397,385,483,286,499
1600014C23Rik,0,0,2,0,7,5,0,9
1600015H23Rik,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0
1600020E01Rik,105,57,35,54,36,79,22,99
1600023N17Rik,6,11,0,4,0,1,1,6
1600025M17Rik,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,3,0,0,0,0
1600029O15Rik,0,1,1,0,0,3,0,3
1700001D01Rik,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0
1700001G11Rik,6,0,3,0,3,6,0,4
1700001G17Rik,0,0,0,0,0,6,0,0
1700001J03Rik,17,8,2,16,5,1,7,9
1700001J04Rik,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,1,0,0,0,0,0
1700001K19Rik,0,0,0,0,0,0,0,0
1700001K23Rik,0,0,0,3,0,0,0,0
1700001L05Rik,19,31,20,41,4,24,38,39
1700001O22Rik,0,0,1,0,0,1,0,2
1700003C15Rik,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0
1700003E16Rik,0,0,0,0,0,0,0,0
1700003E24Rik,0,0,0,0,0,0,0,0
1700003F12Rik,35,18,16,44,9,22,3,30
1700003G18Rik,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0
